"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","All ages","Same Employer","€","823"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","All ages","Different Employer","€","675"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Clare","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Both sexes","All ages","Same Employer","€","861"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Both sexes","All ages","Different Employer","€","749"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Cork","Male","25 years and over","Different Employer","€",""
